Question,Option1,Option2,Option3,Option4,Answer,Difficulty
What is the capital of France?,Paris,London,Berlin,Rome,Paris,Easy
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,Mars,Easy
Who wrote 'Hamlet'?,Shakespeare,Dickens,Austen,Orwell,Shakespeare,Medium
What is the square root of 144?,10,11,12,13,12,Hard
What is the chemical symbol for water?,H2O,O2,CO2,H2,H2O,Easy
Who painted the Mona Lisa?,Van Gogh,Da Vinci,Picasso,Rembrandt,Da Vinci,Medium
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Shark,Blue Whale,Easy
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Carbon Dioxide,Easy
What is 9 multiplied by 8?,72,81,64,56,72,Easy
Who discovered penicillin?,Einstein,Newton,Fleming,Curie,Fleming,Medium
What is the speed of light?,"300,000 km/s","150,000 km/s","450,000 km/s","600,000 km/s","300,000 km/s",Hard
In which year did World War II end?,1940,1945,1939,1950,1945,Medium
What is the smallest prime number?,0,1,2,3,2,Easy
Who is the author of 'Pride and Prejudice'?,Bronte,Austen,Dickens,Shelley,Austen,Medium
Which is the largest desert in the world?,Sahara,Gobi,Arctic,Antarctic,Antarctic,Hard
What is the currency of Japan?,Yen,Won,Dollar,Euro,Yen,Easy
Which organ in the human body filters blood?,Heart,Liver,Kidneys,Lungs,Kidneys,Easy
What is the capital of Australia?,Sydney,Canberra,Melbourne,Perth,Canberra,Medium
What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Quartz,Diamond,Medium
Who developed the theory of relativity?,Newton,Einstein,Tesla,Curie,Einstein,Hard
